Column1;street;district
160;переулок Верещагина;р-н Ленинский
161;Верхисетский бульвар;р-н Октябрьский
162;Верх-Исетский бульвар;р-н Верх-Исетский
163;Верхний переулок;р-н Орджоникидзевский
164;Верхоянская ;р-н Октябрьский
165;Вершининская ;р-н Верх-Исетский
166;Весенняя ;р-н Чкаловский
167;Ветеринарная ;р-н Верх-Исетский
168;Вечерний переулок;р-н Октябрьский
169;переулок Взрывников;р-н Октябрьский
170;Видная ;р-н Верх-Исетский
171;Вижайская ;р-н Чкаловский
172; Викулова;р-н Верх-Исетский
173; Вилонова;р-н Кировский
174; Вильгельма де Геннина;р-н Академический
175;Виноградный переулок;р-н Кировский
176;Виражный переулок;р-н Октябрьский
177;Вишерский переулок;р-н Орджоникидзевский
178;Вишневая ;None
179;Владивостокская ;р-н Кировский
180; Владимира Высоцкого;р-н Кировский
181;Владимирская ;р-н Верх-Исетский
182;Вогульский переулок;р-н Кировский
183;Водительский проезд;р-н Чкаловский
184;Водная ;р-н Чкаловский
185;Водоемная ;р-н Чкаловский
186;Водонасосная ;р-н Верх-Исетский
187; Водопьянова;р-н Железнодорожный
188; Воеводина;р-н Ленинский
189;Военная ;р-н Чкаловский
190; Военного Флота;р-н Ленинский
191;переулок Воинов;р-н Чкаловский
192; Войкова;р-н Орджоникидзевский
193;Вокзальная ;р-н Железнодорожный
194;Волгоградская ;None
195;Волжская ;р-н Железнодорожный
196;Вологодская ;р-н Железнодорожный
197; Володарского;р-н Верх-Исетский
198; Волошина;р-н Ленинский
199;Волховская ;р-н Кировский
200;Волчанский переулок;р-н Октябрьский
201; Воровского;р-н Чкаловский
202;Воронежский переулок;р-н Ленинский
203; Воронина;р-н Железнодорожный
204;Воскресный переулок;р-н Верх-Исетский
205; Восстания;р-н Орджоникидзевский
206;Восточная ;None
207;Встречный переулок;р-н Верх-Исетский
208;Выездной переулок;р-н Железнодорожный
209;Высокий переулок;р-н Чкаловский
210;Высоковольтный переулок;р-н Орджоникидзевский
211;Высотная ;р-н Чкаловский
212; Высоцкого;р-н Кировский
213;Выходной переулок;р-н Октябрьский
214; Гагарина;р-н Кировский
215;Гаевский переулок;р-н Чкаловский
216;Газетная ;р-н Чкаловский
217;Газовый переулок;р-н Чкаловский
218;переулок Газорезчиков;р-н Чкаловский
219; Гайдара;р-н Железнодорожный
220; Галактики;р-н Верх-Исетский
221; Галилея;р-н Верх-Исетский
222;Гаражная ;р-н Ленинский
223;Гаринский переулок;р-н Верх-Исетский
224; Гаршина;р-н Чкаловский
225; Гастелло;р-н Чкаловский
226; Гвардейцев;р-н Верх-Исетский
227;Генеральская ;р-н Кировский
228;Геологическая ;р-н Чкаловский
229;переулок Геологов;р-н Орджоникидзевский
230;Георгиновый переулок;р-н Орджоникидзевский
231; Героев России;р-н Железнодорожный
232; Герцена;р-н Чкаловский
233;Глухая ;р-н Верх-Исетский
234; Гоголя;р-н Ленинский
235;Гончарный переулок;р-н Чкаловский
236;Гореловская ;р-н Ленинский
237; Горлинка;р-н Чкаловский
238;проезд Горнистов;р-н Октябрьский
239;Городская ;р-н Ленинский
240; Горького;None
241; Готвальда;None
242;Гражданская ;р-н Железнодорожный
243; Гражданской Войны;р-н Кировский
244;Гранитный проезд;р-н Октябрьский
245; Грибоедова;р-н Чкаловский
246; Григория Речкалова;р-н Верх-Исетский
247; Гризодубовой;р-н Ленинский
248; Громова;р-н Ленинский
249;Грузинский переулок;р-н Кировский
250; Грузчиков;р-н Железнодорожный
251;Грунтовая ;р-н Орджоникидзевский
252; Грязнова;р-н Верх-Исетский
253;Губахинская ;р-н Кировский
254;Гурзуфская ;р-н Верх-Исетский
255;Дагестанская ;р-н Чкаловский
256;Далекая ;р-н Чкаловский
257;Далматовская ;р-н Чкаловский
258;Дальневосточная ;р-н Чкаловский
259;Дальняя ;р-н Академический
260; Данилина;р-н Верх-Исетский
261;Даниловская ;р-н Орджоникидзевский
262; Данилы Зверева;р-н Кировский
263; Дарвина;р-н Чкаловский
264;Дарьинская ;р-н Верх-Исетский
265;Даурская ;р-н Орджоникидзевский
266;Дачная ;р-н Кировский
267;Двинская ;р-н Академический
268; Декабристов;None
269; Демьяна Бедного;р-н Чкаловский
270;бульвар Денисова-Уральского;р-н Ленинский
271;Депутатская ;р-н Ленинский
272;Дерновый переулок;р-н Октябрьский
273;переулок Джамбула;р-н Орджоникидзевский
274; Дзержинского;р-н Железнодорожный
275;Дивизионная ;р-н Ленинский
276;Дизельный переулок;р-н Чкаловский
277; Димитрова;р-н Чкаловский
278;Днепровский переулок;р-н Чкаловский
279; Добролюбова;р-н Ленинский
280;Добрянский переулок;р-н Октябрьский
281;Дозорный переулок;р-н Чкаловский
282; Долинка;р-н Октябрьский
283;Доломитовая ;р-н Верх-Исетский
284; Долорес Ибаррури;р-н Верх-Исетский
285;Донбасская ;р-н Орджоникидзевский
286;Донская ;р-н Орджоникидзевский
287;Дорожная ;р-н Чкаловский
288; Доронина;р-н Железнодорожный
289; Достоевского;р-н Орджоникидзевский
290;Дошкольная ;р-н Чкаловский
291;Дощатый переулок;р-н Чкаловский
292;переулок Дружбы;р-н Орджоникидзевский
293;Дружининская ;р-н Железнодорожный
294;переулок Дружинников;р-н Ленинский
295;Дублер Сибирского тракта;р-н Кировский
296;Дубровинский переулок;р-н Верх-Исетский
297;Дунайская ;р-н Чкаловский
298;Дунитовый переулок;р-н Чкаловский
299; Евгения Савкова;р-н Академический
300;Европейская ;р-н Ленинский
301; Егорова;р-н Верх-Исетский
302; Единого Фронта;р-н Верх-Исетский
303;Екатеринбургская кольцевая автомобильная дорога;None
304;Еланский переулок;р-н Чкаловский
305;Елизаветинское шоссе;р-н Чкаловский
306;Еловский переулок;р-н Орджоникидзевский
307;Енисейская ;р-н Железнодорожный
308;Ереванская ;р-н Железнодорожный
309; Еремина;р-н Железнодорожный
310; Ершова;р-н Орджоникидзевский
311;переулок Ершова;р-н Орджоникидзевский
312; Железнодорожников;р-н Кировский
313; Желябова;р-н Чкаловский
314;Живописная ;р-н Ленинский
315;площадь Жуковского;р-н Чкаловский
316; Забойщиков;р-н Чкаловский
317;Заветный переулок;р-н Верх-Исетский
318;Заводская ;р-н Верх-Исетский
319;Завокзальная ;р-н Железнодорожный
320;Загородный переулок;р-н Октябрьский
321;Задорный переулок;р-н Верх-Исетский
322;Заезжий переулок;р-н Кировский
323; Залесья;р-н Чкаловский
324;Замятина переулок;р-н Орджоникидзевский
325; Замятина;р-н Орджоникидзевский
326;Заозерный переулок;р-н Ленинский
327;Заповедная ;р-н Октябрьский
328;Запорожский переулок;р-н Чкаловский
329;Заречная ;р-н Орджоникидзевский
330;Званый переулок;р-н Чкаловский
331;Звездная ;р-н Чкаловский
332;Звездный переулок;р-н Октябрьский
333;Звонкий переулок;р-н Чкаловский
334;Здешний переулок;р-н Орджоникидзевский
335; Зеленая Роща;р-н Ленинский
336;Зеленый переулок;р-н Орджоникидзевский
337;переулок Землячки;р-н Орджоникидзевский
338; Зенитчиков;р-н Чкаловский
339;Зерновой переулок;р-н Октябрьский
340;Зимняя ;р-н Чкаловский
341;Златоустовский переулок;None
342; Змеиная Гора;р-н Чкаловский
343; Зои Космодемьянской;р-н Чкаловский
344;Золотистый бульвар;р-н Ленинский
345;Зоологическая ;р-н Верх-Исетский
346; Зыкова;р-н Чкаловский
347;Зырянский переулок;р-н Октябрьский
348; Иванова;р-н Железнодорожный
349; Избирателей;р-н Орджоникидзевский
350; Изобретателей;р-н Чкаловский
351;Изоплитная ;р-н Кировский
352;Изразцовый переулок;р-н Орджоникидзевский
353;Изумрудный переулок;р-н Орджоникидзевский
354;Илимская ;р-н Орджоникидзевский
355;Ильинский переулок;р-н Железнодорожный
356; Ильича;р-н Орджоникидзевский
357; Индустрии;р-н Орджоникидзевский
358; Инженера Алиева;р-н Чкаловский
359;Инженерная ;р-н Чкаловский
360;Ирбитская ;р-н Кировский
361;Иркутская ;р-н Ленинский
362;Иртышский переулок;р-н Кировский
363;Исетская ;р-н Чкаловский
364;Искристый переулок;р-н Верх-Исетский
365; Искровцев;р-н Кировский
366; Испанских Рабочих;р-н Железнодорожный
367;Исполкомовский переулок;р-н Кировский
368; Испытателей;р-н Октябрьский
369; Исследователей;р-н Ленинский
370;Исток станция;р-н Октябрьский
371;Историческая ;р-н Ленинский
372;Источная ;р-н Октябрьский
373;Ишимский переулок;р-н Железнодорожный
374;Июльская ;р-н Кировский
375;Казанская ;р-н Кировский
376;Казачий переулок;р-н Кировский
377; Калинина;р-н Орджоникидзевский
378;Калиновский переулок;р-н Орджоникидзевский
379;Калмыцкий переулок;р-н Чкаловский
380; Каляева;р-н Верх-Исетский
381; Каманина;р-н Железнодорожный
382;Каменный переулок;р-н Октябрьский
383; Каменотесов;р-н Октябрьский
384; Каменщиков;р-н Верх-Исетский
385;Камская ;р-н Железнодорожный
386;Камчатская ;р-н Кировский
387;Камышинский переулок;р-н Чкаловский
388;Канатный переулок;р-н Чкаловский
389;Караванная ;р-н Чкаловский
390;Карельская ;р-н Октябрьский
391;Каркасный переулок;р-н Октябрьский
392; Карла Либкнехта;None
393; Карла Маркса;None
394;Карьерная ;р-н Октябрьский
395;Каскадный проезд;р-н Октябрьский
396;Каслинский переулок;р-н Чкаловский
397;Катайский переулок;р-н Верх-Исетский
398;Качканарская ;р-н Верх-Исетский
399;Кашинский переулок;р-н Чкаловский
400;Каширская ;р-н Орджоникидзевский
401;Кварцевая ;р-н Чкаловский
402;Кедровая ;р-н Кировский
403;станция Керамик;р-н Чкаловский
404;Киевский переулок;р-н Верх-Исетский
405;Кизеловская ;р-н Верх-Исетский
406;Кимовская ;р-н Железнодорожный
407;Киргизский переулок;р-н Чкаловский
408; Кирова;р-н Верх-Исетский
409;площадь Кирова;р-н Кировский
410;Кировградская ;р-н Орджоникидзевский
411;Кирпичный переулок;р-н Чкаловский
412;Кислородная ;р-н Орджоникидзевский
413;Китайский переулок;р-н Чкаловский
414;Кичигинская ;р-н Ленинский
415;Кишиневская ;р-н Железнодорожный
416; Клары Цеткин;р-н Кировский
417;Клеверный переулок;р-н Академический
418;Кленовая ;р-н Кировский
419;Климовская ;р-н Октябрьский
420;Клубный переулок;р-н Железнодорожный
421;Ключевская ;р-н Верх-Исетский
422;Книжный проезд;р-н Орджоникидзевский
423;Книжный переулок;р-н Орджоникидзевский
424; Кобозева;р-н Орджоникидзевский
425;Ковровый переулок;р-н Ленинский
426;Ковыльная ;р-н Чкаловский
427;Койвинский переулок;р-н Октябрьский
428;Коллективный переулок;р-н Чкаловский
429; Колмогорова;None
430;Колодезный переулок;р-н Октябрьский
431;Колокольная ;р-н Академический
432;Коломенский переулок;р-н Кировский
433; Колхозников;р-н Чкаловский
434;Кольцевая ;р-н Ленинский
435; Кольцова;р-н Орджоникидзевский
436;станция Кольцово;р-н Октябрьский
437;Комбинатская ;р-н Ленинский
438;Комвузовская ;р-н Кировский
439;Комендантский тупик;р-н Железнодорожный
440; Коминтерна;р-н Кировский
441;Коммунальная ;р-н Железнодорожный
442;Коммунистическая ;р-н Орджоникидзевский
443;Комсомольская ;None
444; Кондратьева;р-н Верх-Исетский
445;Кондукторская ;р-н Кировский
446;Конотопская ;р-н Железнодорожный
447; Контролеров;р-н Верх-Исетский
448;Конюшенный проезд;р-н Октябрьский
449; Коперника;р-н Верх-Исетский
450;Корейский переулок;р-н Чкаловский
451; Корепина;р-н Орджоникидзевский
452;Коркинская ;р-н Чкаловский
453; Короленко;р-н Железнодорожный
454;Короткий переулок;р-н Чкаловский
455; Косарева;р-н Чкаловский
456;проспект Космонавтов;None
457;Кособродский переулок;р-н Ленинский
458;Косогорная ;р-н Академический
459;Косотурская ;р-н Верх-Исетский
460;Костромская ;р-н Кировский
461;Косьвинский переулок;р-н Чкаловский
462; Котельникова;р-н Верх-Исетский
463; Котовского;р-н Верх-Исетский
464;Коуровская ;р-н Железнодорожный
465;Краевой переулок;р-н Чкаловский
466;Крайний переулок;р-н Октябрьский
467;Крановщиков переулок;р-н Октябрьский
468; Крановщиков;р-н Октябрьский
469;Крапивный переулок;р-н Орджоникидзевский
470; Красина;р-н Кировский
471; Красная Горка;р-н Чкаловский
472;Красноармейская ;р-н Октябрьский
473;Краснодарская ;р-н Кировский
474;Краснознаменная ;р-н Орджоникидзевский
475;Краснокамская ;р-н Верх-Исетский
476; Краснолесья;р-н Академический
477;Краснополянский переулок;р-н Орджоникидзевский
478;Краснопрудная ;р-н Чкаловский
479;Красноуральская ;р-н Верх-Исетский
480;Красноуфимская ;р-н Верх-Исетский
481; Краснофлотцев;р-н Орджоникидзевский
482;Красный переулок;р-н Железнодорожный
483; Красных Борцов;р-н Орджоникидзевский
484; Красных Зорь;р-н Верх-Исетский
485; Красных Командиров;р-н Орджоникидзевский
486; Красных Партизан;р-н Орджоникидзевский
487; Крауля;р-н Верх-Исетский
488; Кренкеля;р-н Верх-Исетский
489; Крестинского;р-н Чкаловский
490;Крестьянская ;р-н Чкаловский
491;Кронштадтская ;р-н Кировский
492;Круговая ;р-н Чкаловский
493;Кружевная ;р-н Октябрьский
494; Крупносортщиков;р-н Железнодорожный
495; Крупской;р-н Железнодорожный
496;Крутая ;р-н Кировский
497;Крутихинский переулок;р-н Железнодорожный
498;Крылатский переулок;р-н Октябрьский
499; Крылова;р-н Верх-Исетский
500;Крымский переулок;р-н Кировский
501; Кузнецова;р-н Орджоникидзевский
502;Кузнечная ;р-н Кировский
503;Кузнечный переулок;р-н Железнодорожный
504; Куйбышева;None
505; Кулибина;р-н Кировский
506;бульвар Культуры;р-н Орджоникидзевский
507;Кунарская ;р-н Железнодорожный
508;Курганская ;р-н Октябрьский
509;Курьинский переулок;р-н Кировский
510;Кустовой переулок;р-н Октябрьский
511; Кутузова;р-н Чкаловский
512;Кыштымский переулок;р-н Ленинский
513;Лагерная ;р-н Октябрьский
514; Лагоды;р-н Верх-Исетский
515;Лазурный переулок;р-н Орджоникидзевский
516; Лапчатка;р-н Верх-Исетский
517;Латвийская ;р-н Октябрьский
518;Латышская ;р-н Чкаловский
519;Лебяжий переулок;р-н Орджоникидзевский
520; Леваневского;р-н Железнодорожный
521;переулок Левитана;р-н Ленинский
522;Лезгинская ;р-н Чкаловский
523;проспект Ленина;None
524;Ленинградская ;р-н Верх-Исетский
525;Леонидовский переулок;р-н Ленинский
526; Лермонтова;р-н Железнодорожный
527;Лесная ;р-н Железнодорожный
528; Лесоводов;р-н Кировский
529;Летняя ;р-н Октябрьский
530; Летчиков;р-н Железнодорожный
531;Лечебный переулок;р-н Ленинский
532;Лимонитовый переулок;р-н Чкаловский
533;Линейная ;р-н Верх-Исетский
534;Листопадная ;р-н Чкаловский
535; Литейщиков;р-н Верх-Исетский
536;переулок Лобачевского;р-н Кировский
537;Лобвинская ;р-н Железнодорожный
538; Лобкова;р-н Орджоникидзевский
539; Лодыгина;р-н Кировский
540;Лозовой переулок;р-н Чкаловский
541; Ломоносова;р-н Орджоникидзевский
542; Лоцмановых;р-н Верх-Исетский
543;Луганская ;р-н Октябрьский
544; Лукиных;р-н Орджоникидзевский
545; Луначарского;None
546;Лучевая ;р-н Октябрьский
547;Лучистая ;р-н Чкаловский
548; Лыжников;р-н Чкаловский
549; Любви;р-н Ленинский
550;Лялинская ;р-н Верх-Исетский
551; Ляпустина;р-н Чкаловский
552;Майкопская ;р-н Железнодорожный
553; Максима Горького;р-н Чкаловский
554;Малахитовый переулок;р-н Чкаловский
555;Малопрудная ;р-н Академический
556;Малый переулок;р-н Орджоникидзевский
557;Малый Конный полуостров;р-н Верх-Исетский
558; Малышева;None
559; Мамина-Сибиряка;None
560;Маневровая ;р-н Железнодорожный
561;Манчажская ;р-н Верх-Исетский
562; Марата;р-н Верх-Исетский
563; Марии Авейде;р-н Железнодорожный
564;Мартовская ;р-н Чкаловский
565; Маршала Жукова;р-н Верх-Исетский
566;Матросская ;р-н Железнодорожный
567; Машинистов;р-н Железнодорожный
568;Машинная ;None
569; Машиностроителей;р-н Орджоникидзевский
570; Маяковского;None
571;переулок Медиков;р-н Ленинский
572;Медицинский переулок;р-н Орджоникидзевский
573;Межгорная ;р-н Железнодорожный
574;Межевая ;р-н Чкаловский
575;Мелководный переулок;р-н Ленинский
576;Мельковская ;р-н Железнодорожный
577;Мельковский переулок;р-н Железнодорожный
578; Мельникова;р-н Верх-Исетский
579; Менделеева;р-н Кировский
580; Менжинского;р-н Кировский
581;Местный переулок;р-н Октябрьский
582; Металлургов;р-н Верх-Исетский
583;Механический переулок;р-н Орджоникидзевский
584;Миасская ;р-н Чкаловский
585;Милицейская ;р-н Кировский
586; Минометчиков;р-н Железнодорожный
587; Мира;р-н Кировский
588; Миславского;р-н Академический
589;Михайловская ;р-н Ленинский
590; Михеева;р-н Академический
591; Мичурина;None
592; Многостаночников;р-н Чкаловский
593; Можайского;р-н Чкаловский
594;Можжевеловая ;р-н Верх-Исетский
595; Молодежи;р-н Орджоникидзевский
596; Молодогвардейцев;р-н Чкаловский
597;переулок Молотобойцев;р-н Чкаловский
598; Молотобойцев;р-н Чкаловский
599;Монетный переулок;р-н Железнодорожный
600; Монтажников;р-н Железнодорожный
601;Монтерская ;р-н Чкаловский
602; МОПРа;р-н Октябрьский
603;Мордвинский переулок;р-н Октябрьский
604; Москвина;р-н Чкаловский
605;Московская ;None
607;Московский тракт;р-н Верх-Исетский
608;Московский тракт 8 километр ;р-н Верх-Исетский
609;Московский тракт 9 Километр;р-н Верх-Исетский
610;Мостовая ;р-н Ленинский
611;Моховой переулок;р-н Орджоникидзевский
612;Мраморская ;р-н Чкаловский
613;Мугайский переулок;р-н Чкаловский
614;Муратовский переулок;р-н Чкаловский
615; Мурзинская;р-н Кировский
616;Мурзинская ;р-н Кировский
617;Мурманская ;р-н Кировский
618; Мусоргского;р-н Чкаловский
619;Нагорная ;р-н Верх-Исетский
620;Надеждинская ;р-н Железнодорожный
621;Нарезной переулок;р-н Кировский
622; Народного Фронта;р-н Орджоникидзевский
623; Народной Воли;None
624;Насосный переулок;р-н Октябрьский
625; Начдива Васильева;р-н Верх-Исетский
626; Начдива Онуфриева;р-н Ленинский
627;Невьянский переулок;р-н Железнодорожный
628;Нейвинский переулок;р-н Кировский
629; Некрасова;р-н Железнодорожный
630;Нескучная ;р-н Ленинский
631;Низовой переулок;р-н Октябрьский
632; Никитина;р-н Орджоникидзевский
633;Никитский проезд;р-н Верх-Исетский
634; Николая Кичигина;р-н Верх-Исетский
635; Николая Никонова;р-н Железнодорожный
636;Никольский переулок;None
637; Новаторов;р-н Орджоникидзевский
638;Новая ;р-н Октябрьский
639; Новгородцевой;р-н Кировский
640;Новинская ;р-н Чкаловский
641;Новокольцовская ;р-н Октябрьский
642;Новокомбинатская ;р-н Ленинский
643;Новоозерная ;р-н Ленинский
644;Новопашинский переулок;р-н Чкаловский
645; Новоселов;р-н Октябрьский
646;Новосибирская ;р-н Чкаловский
647;Новоспасская ;р-н Чкаловский
648; Новостроя;р-н Чкаловский
649;Норильская ;р-н Кировский
650;Облепиховый переулок;р-н Ленинский
651;площадь Обороны;р-н Октябрьский
652;Оборошинская ;р-н Железнодорожный
653;переулок Обувщиков;р-н Ленинский
654; Обувщиков;р-н Ленинский
655;Обходной переулок;р-н Чкаловский
656;Объездная дорога;None
657; Огарева;р-н Верх-Исетский
658;Огородный переулок;р-н Железнодорожный
659; Одинарка;р-н Железнодорожный
660;Окраинная ;р-н Чкаловский
661;Окружная ;р-н Чкаловский
662;Октябрьская площадь;р-н Верх-Исетский
663; Октябрьской Революции;р-н Верх-Исетский
664; Олега Кошевого;р-н Чкаловский
665;Олимпийская набережная;р-н Железнодорожный
666;Ольгинская ;р-н Чкаловский
667;Ольховская ;р-н Чкаловский
668;Омская ;р-н Кировский
669;Онежская ;р-н Октябрьский
670;Опалихинская ;р-н Верх-Исетский
671;Опытная ;р-н Октябрьский
672; Орденоносцев;р-н Чкаловский
673;проспект Орджоникидзе;р-н Орджоникидзевский
674;Орловская ;р-н Орджоникидзевский
675;переулок Осипенко;р-н Кировский
676;Основинская ;None
677;переулок Осоавиахима;р-н Орджоникидзевский
678; Островского;None
679;Отдельный переулок;р-н Кировский
680; Отдыха;р-н Кировский
681;переулок Отпускников;р-н Чкаловский
682;Отрадная ;р-н Верх-Исетский
683; Отто Шмидта;р-н Ленинский
684; Охотников;р-н Академический
685; Очеретина;р-н Академический
686; Павла Шаманова;р-н Академический
687;Павловская ;р-н Орджоникидзевский
688;Павлодарская ;р-н Чкаловский
689;Палисадная ;р-н Чкаловский
690;Палкинский переулок;р-н Железнодорожный
691; Пальмиро Тольятти;р-н Верх-Исетский
692;Памирская ;р-н Кировский
693;Панельная ;р-н Кировский
694; Панфиловцев;р-н Чкаловский
695; Папанина;р-н Верх-Исетский
696;Парковая ;р-н Чкаловский
697;Парковый переулок;р-н Кировский
698;Парниковая ;р-н Орджоникидзевский
699; Пархоменко;р-н Чкаловский
700; Патриотов;р-н Чкаловский
701; Патриса Лумумбы;р-н Чкаловский
702;Педагогическая ;р-н Кировский
703;Пензенская ;р-н Железнодорожный
704;Первомайская ;р-н Кировский
705;Перекатная ;р-н Ленинский
706;Переходный переулок;р-н Октябрьский
707;Перспективная ;р-н Чкаловский
708;поселок Пески;р-н Кировский
709;Пестеревский переулок;р-н Верх-Исетский
710;Петропавловская ;р-н Октябрьский
711; Пехотинцев;р-н Железнодорожный
712; Печатников;р-н Ленинский
713;Печерская ;р-н Железнодорожный
